timestamp,sigma
2025-01-13 04:40:00,26.90829669109545
2025-01-13 04:45:00,26.89652352133118
2025-01-13 04:50:00,26.88499308326455
2025-01-13 04:55:00,26.873702646163963
2025-01-13 05:00:00,26.862649512066604
2025-01-13 05:05:00,26.851831015368816
2025-01-13 05:10:00,26.841244522421782
2025-01-13 05:15:00,26.830887431132354
2025-01-13 05:20:00,26.820757170569056
2025-01-13 05:25:00,26.810851200573108
2025-01-13 05:30:00,26.8011670113745
2025-01-13 05:35:00,26.791702123212904
2025-01-13 05:40:00,26.771767202202597
2025-01-13 05:45:00,26.752106305007445
2025-01-13 05:50:00,26.732515321270217
2025-01-13 05:55:00,26.71279320228905
2025-01-13 06:00:00,26.692741915092597
2025-01-13 06:05:00,26.672166397204094
2025-01-13 06:10:00,26.65087451208392
2025-01-13 06:15:00,26.628677005240547
2025-01-13 06:20:00,26.60538746099982
2025-01-13 06:25:00,26.580822259922712
2025-01-13 06:30:00,26.55480053686175
2025-01-13 06:35:00,26.52714413964672
2025-01-13 06:40:00,26.497877588389898
2025-01-13 06:45:00,26.467025035401935
2025-01-13 06:50:00,26.43461027070879
2025-01-13 06:55:00,26.400656727486048
2025-01-13 07:00:00,26.365187487411642
2025-01-13 07:05:00,26.328225285938355
2025-01-13 07:10:00,26.28979251748716
2025-01-13 07:15:00,26.24991124056274
2025-01-13 07:20:00,26.208603182792185
2025-01-13 07:25:00,26.16588974588819
2025-01-13 07:30:00,26.121792010537746
2025-01-13 07:35:00,26.076330741217564
2025-01-13 07:40:00,26.029526390937193
2025-01-13 07:45:00,25.98139910591102
2025-01-13 07:50:00,25.93196873016024
2025-01-13 07:55:00,25.88125481004572
2025-01-13 08:00:00,25.82927659873292
2025-01-13 08:05:00,25.776053060589813
2025-01-13 08:10:00,25.72160287551885
2025-01-13 08:15:00,25.66594444322396
2025-01-13 08:20:00,25.609095887413485
2025-01-13 08:25:00,25.551075059940164
2025-01-13 08:30:00,25.491899544878947
2025-01-13 08:35:00,25.43158666254365
2025-01-13 08:40:00,25.37028472344338
2025-01-13 08:45:00,25.30813981342962
2025-01-13 08:50:00,25.24529582706606
2025-01-13 08:55:00,25.18189450049795
2025-01-13 09:00:00,25.11807544382837
2025-01-13 09:05:00,25.05397617300883
2025-01-13 09:10:00,24.989732141251583
2025-01-13 09:15:00,24.925476769970697
2025-01-13 09:20:00,24.86134147925902
2025-01-13 09:25:00,24.79745571790802
2025-01-13 09:30:00,24.733946992977284
2025-01-13 09:35:00,24.67094089892051
2025-01-13 09:40:00,24.60842989627459
2025-01-13 09:45:00,24.54640655866835
2025-01-13 09:50:00,24.484863571126212
2025-01-13 09:55:00,24.42379372839721
2025-01-13 10:00:00,24.36318993330914
2025-01-13 10:05:00,24.303045195147387
2025-01-13 10:10:00,24.243352628058062
2025-01-13 10:15:00,24.18410544947507
2025-01-13 10:20:00,24.125296978570834
2025-01-13 10:25:00,24.066920634730153
2025-01-13 10:30:00,24.00896993604709
2025-01-13 10:35:00,23.95143849784427
2025-01-13 10:40:00,23.89432003121449
2025-01-13 10:45:00,23.83760834158416
2025-01-13 10:50:00,23.781297327298287
2025-01-13 10:55:00,23.725380978226696
2025-01-13 11:00:00,23.669853374391177
2025-01-13 11:05:00,23.614708684613202
2025-01-13 11:10:00,23.559941165181886
2025-01-13 11:15:00,23.50554515854205
2025-01-13 11:20:00,23.4515150920018
2025-01-13 11:25:00,23.39784547645966
2025-01-13 11:30:00,23.34453090515065
2025-01-13 11:35:00,23.29156605241128
2025-01-13 11:40:00,23.239264422462995
2025-01-13 11:45:00,23.187934816963935
2025-01-13 11:50:00,23.13788140554736
2025-01-13 11:55:00,23.089403795302037
2025-01-13 12:00:00,23.042797099210393
2025-01-13 12:05:00,22.998352003560125
2025-01-13 12:10:00,22.95635483434461
2025-01-13 12:15:00,22.917087622667328
2025-01-13 12:20:00,22.880828169165202
2025-01-13 12:25:00,22.847850107465614
2025-01-13 12:30:00,22.818422966691514
2025-01-13 12:35:00,22.792812233029025
2025-01-13 12:40:00,22.770960660371475
2025-01-13 12:45:00,22.752811861303794
2025-01-13 12:50:00,22.738310294222117
2025-01-13 12:55:00,22.727401250646675
2025-01-13 13:00:00,22.720030842724864
2025-01-13 13:05:00,22.716145990921873
2025-01-13 13:10:00,22.715694411895935
2025-01-13 13:15:00,22.71862460655538
2025-01-13 13:20:00,22.72488584829493
2025-01-13 13:25:00,22.734428171408396
2025-01-13 13:30:00,22.747202359675157
2025-01-13 13:35:00,22.763159935117915
2025-01-13 13:40:00,22.782253146929033
2025-01-13 13:45:00,22.804434960562983
2025-01-13 13:50:00,22.829659046992422
2025-01-13 13:55:00,22.857879772125425
2025-01-13 14:00:00,22.88905218638143
2025-01-13 14:05:00,22.92313201442359
2025-01-13 14:10:00,22.960075645045123
2025-01-13 14:15:00,22.99984012120733
2025-01-13 14:20:00,23.04238313022711
2025-01-13 14:25:00,23.087662994111582
2025-01-13 14:30:00,23.135638660037795
2025-01-13 14:35:00,23.186269690975113
2025-01-13 14:40:00,23.239547506448375
2025-01-13 14:45:00,23.295463654689538
2025-01-13 14:50:00,23.354009810707073
2025-01-13 14:55:00,23.415177774384357
2025-01-13 15:00:00,23.478959468606476
2025-01-13 15:05:00,23.545346937415264
2025-01-13 15:10:00,23.61433234419192
2025-01-13 15:15:00,23.68590796986693
2025-01-13 15:20:00,23.760066211156808
2025-01-13 15:25:00,23.83679957882734
2025-01-13 15:30:00,23.916100695982816
2025-01-13 15:35:00,23.99796229638096
